DrugName,,B,,D,,,E,,,,L,,M,N,,,,R,,
FIRMING C COMPLEX,,,,,,,YOANNA,,,,0,,$25.70,$40.00,,,,Winston Salem Sales Tax,,
ELASTIN COLLAGEN LOTION,,,,,,,YOANNA,,,,0,,$3.70,$5.00,,,,Winston Salem Sales Tax,,
HERBAL TONER,,,,4 OZ,,,YOANNA,,,,0,,$11.30,$5.00,,,,Winston Salem Sales Tax,,
PANTHENOL TONER,,,,4 OZ,,,YOANNA,,,,0,,$11.30,$17.00,,,,Winston Salem Sales Tax,,
VITAMIN E OIL,,,,1 OZ,,,YOANNA,,,,0,,$13.10,$20.00,,,,Winston Salem Sales Tax,,
CBD MINT,,17 MG,,1 OZ,,,CHARLOTTE'S WEB,,,,0,,$35.99,$58.00,,,,Winston Salem Sales Tax,,
CBD OLIVE OIL,,17 MG,,1 OZ,,,CHARLOTTE'S WEB,,,,0,,$35.99,$58.00,,,,Winston Salem Sales Tax,,
CBD LEMON,,17 MG,,1 OZ,,,CHARLOTTE'S WEB,,,,0,,$35.99,$58.00,,,,Winston Salem Sales Tax,,
CBD LEMON,,60 MG,,1 OZ,,,CHARLOTTE'S WEB,,,,0,,$71.99,$118.00,,,,Winston Salem Sales Tax,,
CBD ORANGE,,17 MG,,1 OZ,,,CHARLOTTE'S WEB,,,,0,,$35.99,$58.00,,,,Winston Salem Sales Tax,,
CBD ORANGE,,60 MG,,1 OZ,,,CHARLOTTE'S WEB,,,,0,,$71.99,$118.00,,,,Winston Salem Sales Tax,,
CALM GUMMIES,,,,60 GUMMIES,,,CHARLOTTE'S WEB,,,,0,,$26.99,$42.00,,,,Winston Salem Sales Tax,,
SLEEP GUMMIES,,,,60 GUMMIES,,,CHARLOTTE'S WEB,,,,0,,$26.99,$42.00,,,,Winston Salem Sales Tax,,
CBD ORIGINAL MINT,,50 MG,,1 OZ,,,CHARLOTTE'S WEB,,,,0,,$54.00,$115.00,,,,Winston Salem Sales Tax,,
CBD ORIGINAL OLIVE OIL,,50 MG,,1 OZ,,,CHARLOTTE'S WEB,,,,0,,$71.99,$115.00,,,,Winston Salem Sales Tax,,
CBD MINT,,17 MG,,3.38 OZ,,,CHARLOTTE'S WEB,,,,0,,$89.99,$149.00,,,,Winston Salem Sales Tax,,
CBD MINT,,60 MG,,1 OZ,,,CHARLOTTE'S WEB,,,,0,,$71.99,$118.00,,,,Winston Salem Sales Tax,,
CBD MINT,,60 MG,,3.3 OZ,,,CHARLOTTE'S WEB,,,,0,,$149.99,$260.00,,,,Winston Salem Sales Tax,,
CBD LIQUID CAPS,,15 MG,,30 CT,,,CHARLOTTE'S WEB,,,,0,,$23.99,$39.00,,,,Winston Salem Sales Tax,,
CBD LIQUID CAPS,,15 MG,,60 CT,,,CHARLOTTE'S WEB,,,,0,,$41.99,$68.00,,,,Winston Salem Sales Tax,,
CBD LIQUID CAPS,,25 MG,,30 CT,,,CHARLOTTE'S WEB,,,,0,,$44.99,$72.00,,,,Winston Salem Sales Tax,,
CBD LIQUID CAPS,,25 MG,,60 CT,,,CHARLOTTE'S WEB,,,,0,,$71.99,$118.00,,,,Winston Salem Sales Tax,,
CBD CREAM,,750 MG,,,,,CHARLOTTE'S WEB,,,,0,,$23.99,$36.00,,,,Winston Salem Sales Tax,,
CBD FULL SPECTRUM,,25 MG,,60 GUMMIES,,,CHARLOTTE'S WEB,,,,0,,$41.99,$65.00,,,,Winston Salem Sales Tax,,
CBD FULL SPECTRUM,,15 MG,,60 GUMMIES,,,CHARLOTTE'S WEB,,,,0,,$22.50,$42.00,,,,Winston Salem Sales Tax,,
CBD ARTHRITIS OINTMENT,,,,,,,CHARLOTTE'S WEB,,,,0,,$17.99,$27.00,,,,Winston Salem Sales Tax,,
CBD BACK & NECK OINTMENT,,,,,,,CHARLOTTE'S WEB,,,,0,,$17.99,$27.00,,,,Winston Salem Sales Tax,,
CBD ARTHRITIS CREAM,,,,,,,CHARLOTTE'S WEB,,,,0,,$17.99,$27.00,,,,Winston Salem Sales Tax,,
ORIGINAL GROUND,,,,12 OZ,,,BULLETPROOF,,,,0,,$10.35,$13.00,,,,Winston Salem Sales Tax,,
BRAIN OCTANE,,,,32 OZ,,,BULLETPROOF,,,,0,,$29.57,$48.00,,,,Winston Salem Sales Tax,,
ORIGINAL WHOLE,,,,12 OZ,,,BULLETPROOF,,,,0,,$10.35,$13.00,,,,Winston Salem Sales Tax,,
DECAF GROUND,,,,12 OZ,,,BULLETPROOF,,,,0,,$10.35,$13.00,,,,Winston Salem Sales Tax,,
DECAF WHOLE,,,,12 OZ,,,BULLETPROOF,,,,0,,$10.35,$13.00,,,,Winston Salem Sales Tax,,
FRENCH KICK WHOLE,,,,12 OZ,,,BULLETPROOF,,,,0,,$10.35,$13.00,,,,Winston Salem Sales Tax,,
MENTALIST WHOLE,,,,12 OZ,,,BULLETPROOF,,,,0,,$10.35,$13.00,,,,Winston Salem Sales Tax,,
MENTALIST GROUND,,,,12 OZ,,,BULLETPROOF,,,,0,,$10.35,$13.00,,,,Winston Salem Sales Tax,,
FRENCH KICK GROUND,,,,12 OZ,,,BULLETPROOF,,,,0,,$10.35,$13.00,,,,Winston Salem Sales Tax,,
COLD BREW CHOC COLLAGEN,,,,,,,BULLETPROOF,,,,0,,$3.75,$4.00,,,,Winston Salem Sales Tax,,
OMEGA KRILL COMPLEX,,,,120 CAP,,,BULLETPROOF,,,,0,,$38.00,$55.00,,,,Winston Salem Sales Tax,,
BREAKFAST WHOLE,,,,12 OZ,,,BULLETPROOF,,,,0,,$10.35,$13.00,,,,Winston Salem Sales Tax,,
BREAKFAST GROUND,,,,12 OZ,,,BULLETPROOF,,,,0,,$10.35,$13.00,,,,Winston Salem Sales Tax,,
KETO CREAMER SINGLE PACK,,,,,,,BULLETPROOF,,,,0,,$1.50,$2.25,,,,Winston Salem Sales Tax,,
COLD BREW DARK CHOCOLATE,,,,,,,BULLETPROOF,,,,0,,$3.05,$4.00,,,,Winston Salem Sales Tax,,
COLD BREW VANILLA,,,,,,,BULLETPROOF,,,,0,,$3.05,$4.00,,,,Winston Salem Sales Tax,,
BRAIN OCTANE,,,,14 OZ,,,BULLETPROOF,,,,0,,$15.59,$23.00,,,,Winston Salem Sales Tax,,
BULLETPROOF CREAMER,,,,,,,BULLETPROOF,,,,0,,$20.96,$28.00,,,,Winston Salem Sales Tax,,
PLUS CBD RELIEF SOFTGELS,,,,30 CT,,,CV Sciences,,,,0,,$15.74,$27.00,,,,Winston Salem Sales Tax,,
PLUS CBD RESERVE SOFTGELS,,,,60 CT,,,CV Sciences,,,,0,,$24.74,$42.00,,,,Winston Salem Sales Tax,,
PLUS CBD CALM GUMMIES,,,,60 CT,,,CV Sciences,,,,0,,$15.74,$27.00,,,,Winston Salem Sales Tax,,
PLUS CBD SLEEP GUMMIES,,,,60 CT,,,CV Sciences,,,,0,,$15.74,$27.00,,,,Winston Salem Sales Tax,,
PLUS CBD RESERVE PEACH,,,,30 CT,,,CV Sciences,,,,0,,$24.74,$42.00,,,,Winston Salem Sales Tax,,
PLUS CBD RESERVE MELON,,,,30 CT,,,CV Sciences,,,,0,,$24.74,$42.00,,,,Winston Salem Sales Tax,,
CHOCOLATE PB PIE,,,,,,,SMALL SEED BARS,,,,0,,$1.90,$2.50,,,,Winston Salem Sales Tax,,
PB COCONUT,,,,,,,SMALL SEED BARS,,,,0,,$1.90,$2.50,,,,Winston Salem Sales Tax,,
CHOCOLATE FUDGE,,,,,,,SMALL SEED BARS,,,,0,,$1.90,$2.50,,,,Winston Salem Sales Tax,,
COOKIE DOUGH,,,,,,,SMALL SEED BARS,,,,0,,$1.90,$2.50,,,,Winston Salem Sales Tax,,
LEMON POPPY SEED,,,,2.5 OZ,,,SMALL SEED BARS,,,,0,,$1.90,$2.50,,,,Winston Salem Sales Tax,,
PEANUT BUTTER BAR,,,,,,,SMALL SEED BARS,,,,0,,$1.90,$2.50,,,,Winston Salem Sales Tax,,
BEEF STICK ORIGINAL,,,,,,,STRYVE,,,,0,,$1.25,$1.75,,,,Winston Salem Sales Tax,,
BEEF STICK GREEN CHILE,,,,,,,STRYVE,,,,0,,$1.25,$1.75,,,,Winston Salem Sales Tax,,
BEEF STICK PERI PERI,,,,,,,STRYVE,,,,0,,$1.25,$1.75,,,,Winston Salem Sales Tax,,
TURBO KRILL+D3,,,,60 SOFTGEL,,,3 Care Therapeutics,,,,0,,$14.00,$20.00,,,,Winston Salem Sales Tax,,
HAZELNUT SPREAD,,,,,,,BHU Foods,,,,0,,$11.99,$16.00,,,,Winston Salem Sales Tax,,
KETO STRAWBERRY BAR,,,,,,,BHU Foods,,,,0,,$2.10,$3.00,,,,Winston Salem Sales Tax,,
PEPEPERMINT ZEBRA PATTIES,,,,,,,BHU Foods,,,,0,,$6.75,$9.00,,,,Winston Salem Sales Tax,,
CHOCOLATE CHIP COOKIE,,,,,,,BHU Foods,,,,0,,$2.40,$3.00,,,,Winston Salem Sales Tax,,
KETO COOKIE DOUGH BAR,,,,,,,BHU Foods,,,,0,,$2.10,$3.00,,,,Winston Salem Sales Tax,,
KETO BROWNIE BAR,,,,,,,BHU Foods,,,,0,,$2.10,$3.00,,,,Winston Salem Sales Tax,,
KETO MACADAMIA BAR,,,,,,,BHU Foods,,,,0,,$2.10,$3.00,,,,Winston Salem Sales Tax,,
KETO PEANUT CHOC BAR,,,,,,,BHU Foods,,,,0,,$2.10,$3.00,,,,Winston Salem Sales Tax,,
KETO COCONUT BAR,,,,,,,BHU Foods,,,,0,,$2.10,$3.00,,,,Winston Salem Sales Tax,,
DARK CHOC KETO BITES,,,,,,,BHU Foods,,,,0,,$7.32,$10.50,,,,Winston Salem Sales Tax,,
CHOC CHIP KETO BITES,,,,,,,BHU Foods,,,,0,,$7.32,$10.50,,,,Winston Salem Sales Tax,,
KETO CARAMEL BAR,,,,,,,BHU Foods,,,,0,,$2.10,$3.00,,,,Winston Salem Sales Tax,,
PEANUT BUTTER BITES,,,,,,,BHU Foods,,,,0,,$7.32,$10.50,,,,Winston Salem Sales Tax,,
MACADAMIA KETO BITES,,,,,,,BHU Foods,,,,0,,$7.32,$10.50,,,,Winston Salem Sales Tax,,
KETO SNICKERDOODLE BAR,,,,,,,BHU Foods,,,,0,,$2.08,$3.00,,,,Winston Salem Sales Tax,,
PB TRUFFLES,,,,,,,BHU Foods,,,,0,,$11.20,$16.00,,,,Winston Salem Sales Tax,,
HAZELNUT TRUFFLES,,,,,,,BHU Foods,,,,0,,$11.20,$16.00,,,,Winston Salem Sales Tax,,
MINT TRUFFLES,,,,,,,BHU Foods,,,,0,,$11.20,$16.00,,,,Winston Salem Sales Tax,,
DOUBLE CHOC TRUFFLES,,,,,,,BHU Foods,,,,0,,$11.20,$16.00,,,,Winston Salem Sales Tax,,
PB COOKIE DOUGH,,,,,,,BHU Foods,,,,0,,$11.99,$16.00,,,,Winston Salem Sales Tax,,
CHOC CHIP COOKIEDOUGH,,,,,,,BHU Foods,,,,0,,$11.99,$16.00,,,,Winston Salem Sales Tax,,
COCONUT COOKIEDOUGH,,,,,,,BHU Foods,,,,0,,$11.99,$16.00,,,,Winston Salem Sales Tax,,
DARK CHOC COOKIEDOUGH,,,,,,,BHU Foods,,,,0,,$11.99,$16.00,,,,Winston Salem Sales Tax,,
READY TO BAKE COOKIES,,,,,,,BHU Foods,,,,0,,$6.00,$8.00,,,,Winston Salem Sales Tax,,
KETO MINT COOKIEDOUGH,,,,,,,BHU Foods,,,,0,,$2.10,$3.00,,,,Winston Salem Sales Tax,,
MAG TAURATE 180 V CAPS,,,,180 CAP,,,Ecological Formulas,,,,0,,$18.50,$29.00,,,,Winston Salem Sales Tax,,
MONOLAURIN,,600 MG,,90 CAP,,,Ecological Formulas,,,,0,,$17.55,$28.00,,,,Winston Salem Sales Tax,,
REFLUXIN,,,,90 TAB,,,Ecological Formulas,,,,0,,$8.00,$5.00,,,,Winston Salem Sales Tax,,
LACTOFERRIN,,300 MG,,60 CAP,,,Ecological Formulas,,,,0,,$25.00,$40.00,,,,Winston Salem Sales Tax,,
INOSITOL POWDER,,1.5 GR,,,,,Ecological Formulas,,,,0,,$11.10,$18.00,,,,Winston Salem Sales Tax,,
SIMILASE,,,,90 CAP,,,EMERSON,,,,0,,$13.75,$22.00,,,,Winston Salem Sales Tax,,
DHEA,,5 MG,,60 CAP,,,EMERSON,,,,0,,$4.37,$8.00,,,,Winston Salem Sales Tax,,
PRO SOM SLEEP,,,,60 CAP,,,EMERSON,,,,0,,$22.50,$34.00,,,,Winston Salem Sales Tax,,
CORTISOL MAN. ALLERG FREE,,,,,,,EMERSON,,,,0,,$14.50,$24.00,,,,Winston Salem Sales Tax,,
LAURICIDIN,,3000 MG,,8 OZ,,,LAURICIDIN,,,,0,,$15.95,$33.00,,,,Winston Salem Sales Tax,,
ORGINAL LIP BALM,,,,,,,ALL GOOD,,,,0,,$1.75,$3.00,,,,Winston Salem Sales Tax,,
SPORT SUNSCREEN,,,,,,,ALL GOOD,,,,0,,$7.99,$13.00,,,,Winston Salem Sales Tax,,
KIDS SUNSCREEN,,,,,,,ALL GOOD,,,,0,,$7.99,$13.00,,,,Winston Salem Sales Tax,,
SPORT SUNSCREEN SPRAY,,,,,,,ALL GOOD,,,,0,,$9.99,$15.00,,,,Winston Salem Sales Tax,,
KIDS SUNCREEN SPRAY,,,,,,,ALL GOOD,,,,0,,$9.99,$15.00,,,,Winston Salem Sales Tax,,
TINTED SUNSCREEN,,,,,,,ALL GOOD,,,,0,,$9.99,$15.00,,,,Winston Salem Sales Tax,,
BRACELET,,,,,,,CELESTIAL CITY DESIGNS,,,,0,,$10.00,$14.00,,,,Winston Salem Sales Tax,,
AMALAKI,,1000 MG,,90 TAB,,,Banyon Botanicals,,,,0,,$10.99,$18.00,,,,Winston Salem Sales Tax,,
MANJISTHA,,1000 MG,,90 TAB,,,Banyon Botanicals,,,,0,,$10.99,$18.00,,,,Winston Salem Sales Tax,,
MUCUNA,,1000 MG,,90 TAB,,,Banyon Botanicals,,,,0,,$10.99,$18.00,,,,Winston Salem Sales Tax,,
KITCHARI SPICE MIX,,,,3.5 OZ,,,Banyon Botanicals,,,,0,,$5.49,$7.50,,,,Winston Salem Sales Tax,,
GHEE ORGANIC,,,,,,,EMERSON,,,,0,,$7.79,$11.00,,,,Winston Salem Sales Tax,,
HYDROTAB,,80 MG,,60 TAB,,,HYDROTAB,,,,0,,$25.00,$42.00,,,,Winston Salem Sales Tax,,
TB4-FRAG SPRAY,,,,,,,"Integrative Peptides, LLC",,,,0,,$95.00,$140.00,,,,Winston Salem Sales Tax,,
CAN'T WEIGHT,,,,60 CAP,,,"Integrative Peptides, LLC",,,,0,,$50.00,$80.00,,,,Winston Salem Sales Tax,,
CEREBROPEP,,,,30 CAP,,,"Integrative Peptides, LLC",,,,0,,$60.00,$105.00,,,,Winston Salem Sales Tax,,
KPV SPRAY,,,,,,,"Integrative Peptides, LLC",,,,0,,$80.00,$115.00,,,,Winston Salem Sales Tax,,
LITHIUM OROTATE,,130 MG,,120 CAP,,,EMERSON,,,,0,,$13.63,$20.00,,,,Winston Salem Sales Tax,,
SUNSHINE LOTUS PEAR,,,,12 OZ,,,SUNSHINE BEVERAGES,,,,0,,$1.67,$2.50,,,,Winston Salem Sales Tax,,
SUNSHINE POMEGRANATE,,,,,,,SUNSHINE BEVERAGES,,,,0,,$1.67,$2.50,,,,Winston Salem Sales Tax,,
SUNSHINE CITRUS,,,,12 OZ,,,SUNSHINE BEVERAGES,,,,0,,$1.67,$2.50,,,,Winston Salem Sales Tax,,
MONKFRUIT,,,,8 OZ,,,LAKANTO,,,,0,,$5.00,$7.00,,,,Winston Salem Sales Tax,,
PLAIN CHOCOLATE BAR,,,,,,,LAKANTO,,,,0,,$4.60,$6.50,,,,Winston Salem Sales Tax,,
CACAO CHOCOLATE BAR,,,,,,,LAKANTO,,,,0,,$4.60,$6.50,,,,Winston Salem Sales Tax,,
DRINKING CHOC,,,,,,,LAKANTO,,,,0,,$10.50,$14.50,,,,Winston Salem Sales Tax,,
MATCHA LATTE,,,,,,,LAKANTO,,,,0,,$10.50,$14.50,,,,Winston Salem Sales Tax,,
SUNTELLA,,,,,,,LAKANTO,,,,0,,$7.50,$11.00,,,,Winston Salem Sales Tax,,
POWDERED SUGAR,,,,,,,LAKANTO,,,,0,,$9.50,$13.00,,,,Winston Salem Sales Tax,,
BROWNIE MIX,,,,,,,LAKANTO,,,,0,,$7.00,$10.00,,,,Winston Salem Sales Tax,,
CHOCOLATE CHIPS,,,,,,,LAKANTO,,,,0,,$8.00,$11.00,,,,Winston Salem Sales Tax,,
BLUEBERRY MUFFIN MIX,,,,,,,LAKANTO,,,,0,,$7.00,$10.00,,,,Winston Salem Sales Tax,,
PANCAKE MIX,,,,,,,LAKANTO,,,,0,,$10.00,$14.00,,,,Winston Salem Sales Tax,,
CHOCOLATE ALMOND BARK,,,,,,,LAKANTO,,,,0,,$7.65,$10.00,,,,Winston Salem Sales Tax,,
SUNFLOWER CUPS,,,,,,,LAKANTO,,,,0,,$5.75,$8.00,,,,Winston Salem Sales Tax,,
CINNAMON GRANOLA,,,,,,,LAKANTO,,,,0,,$8.50,$9.00,,,,Winston Salem Sales Tax,,
CHOCOLATE MUFFIN MIX,,,,,,,LAKANTO,,,,0,,$7.00,$10.00,,,,Winston Salem Sales Tax,,
PUMPKIN MUFFINS,,,,,,,LAKANTO,,,,0,,$7.00,$10.00,,,,Winston Salem Sales Tax,,
BANANA MUFFINS,,,,,,,LAKANTO,,,,0,,$7.00,$10.00,,,,Winston Salem Sales Tax,,
PEANUT BUTTER CUPS,,,,,,,LAKANTO,,,,0,,$5.75,$8.00,,,,Winston Salem Sales Tax,,
CINNAMON MAPLE SYRUP,,,,,,,LAKANTO,,,,0,,$7.00,$10.00,,,,Winston Salem Sales Tax,,
CANIDIED NUTS,,,,,,,LAKANTO,,,,0,,$8.75,$12.00,,,,Winston Salem Sales Tax,,
CINNAMON NUTS,,,,,,,LAKANTO,,,,0,,$8.75,$12.00,,,,Winston Salem Sales Tax,,
MAPLE NUTS,,,,,,,LAKANTO,,,,0,,$8.75,$12.00,,,,Winston Salem Sales Tax,,
CHOCOLATE ALMONDS,,,,,,,LAKANTO,,,,0,,$5.50,$7.50,,,,Winston Salem Sales Tax,,
ESPRESSO CUPS,,,,,,,LAKANTO,,,,0,,$10.00,$14.00,,,,Winston Salem Sales Tax,,
COOKIE BUTTER,,,,,,,LAKANTO,,,,0,,$7.50,$10.00,,,,Winston Salem Sales Tax,,
CHOCOLATE GRANOLA,,,,,,,LAKANTO,,,,0,,$8.50,$12.00,,,,Winston Salem Sales Tax,,
BERRY GRANOLA,,,,,,,LAKANTO,,,,0,,$8.50,$12.00,,,,Winston Salem Sales Tax,,
VANILLA ALMOND BUTTER,,,,,,,LAKANTO,,,,0,,$10.00,$14.00,,,,Winston Salem Sales Tax,,
MINT TRUFFLES,,,,,,,LAKANTO,,,,0,,$7.00,$10.00,,,,Winston Salem Sales Tax,,
CARAMEL TRUFFLES,,,,,,,LAKANTO,,,,0,,$7.00,$10.00,,,,Winston Salem Sales Tax,,
TRUFFLES,,,,,,,LAKANTO,,,,0,,$7.00,$10.00,,,,Winston Salem Sales Tax,,
PEANUT BUTTER SPREAD,,,,,,,LAKANTO,,,,0,,$7.65,$11.00,,,,Winston Salem Sales Tax,,
BERRY COFFE CAKE,,,,,,,LAKANTO,,,,0,,$10.00,$14.00,,,,Winston Salem Sales Tax,,
LEMON MUFFINS,,,,,,,LAKANTO,,,,0,,$7.00,$10.00,,,,Winston Salem Sales Tax,,
MAPLE SYRUP,,,,,,,LAKANTO,,,,0,,$7.15,$10.00,,,,Winston Salem Sales Tax,,
ADRENAL,,,,,,,HAIOTB,,,,0,,$4.50,$26.00,,,,Winston Salem Sales Tax,,
ASH,,,,,,,HAIOTB,,,,0,,$2.95,$21.00,,,,Winston Salem Sales Tax,,
BERB,,,,,,,HAIOTB,,,,0,,$9.47,$30.00,,,,Winston Salem Sales Tax,,
BF ADRENAL,,,,,,,HAIOTB,,,,0,,$4.50,$19.50,,,,Winston Salem Sales Tax,,
BF ASH,,,,,,,HAIOTB,,,,0,,$2.95,$15.75,,,,Winston Salem Sales Tax,,
BF BALM,,,,,,,HAIOTB,,,,0,,$12.00,$18.00,,,,Winston Salem Sales Tax,,
BF BERB,,,,,,,HAIOTB,,,,0,,$4.37,$21.75,,,,Winston Salem Sales Tax,,
BF BLOOD,,,,,,,HAIOTB,,,,0,,$6.50,$21.00,,,,Winston Salem Sales Tax,,
BF BONE,,,,,,,HAIOTB,,,,0,,$3.40,$19.50,,,,Winston Salem Sales Tax,,
BF BRAIN,,,,,,,HAIOTB,,,,0,,$17.77,$50.25,,,,Winston Salem Sales Tax,,
BF CIRC,,,,,,,HAIOTB,,,,0,,$4.35,$19.50,,,,Winston Salem Sales Tax,,
BF DAILY,,,,,,,HAIOTB,,,,0,,$8.75,$19.88,,,,Winston Salem Sales Tax,,
BF DK BUNDLE,,,,,,,HAIOTB,,,,0,,$5.72,$26.24,,,,Winston Salem Sales Tax,,
BF ESTRO,,,,,,,HAIOTB,,,,0,,$3.80,$24.00,,,,Winston Salem Sales Tax,,
BF EYE,,,,,,,HAIOTB,,,,0,,$4.75,$19.50,,,,Winston Salem Sales Tax,,
BF INFLA,,,,,,,HAIOTB,,,,0,,$6.55,$21.00,,,,Winston Salem Sales Tax,,
BF KETOX,,,,,,,HAIOTB,,,,0,,$12.65,$35.25,,,,Winston Salem Sales Tax,,
BF MAX,,,,,,,HAIOTB,,,,0,,$3.65,$21.00,,,,Winston Salem Sales Tax,,
BF MUS,,,,,,,HAIOTB,,,,0,,$7.00,$16.50,,,,Winston Salem Sales Tax,,
BF OIL,,,,,,,HAIOTB,,,,0,,$12.00,$18.00,,,,Winston Salem Sales Tax,,
BF OMEGA,,,,,,,HAIOTB,,,,0,,$5.25,$21.00,,,,Winston Salem Sales Tax,,
BF PLANT,,,,,,,HAIOTB,,,,0,,$7.65,$27.75,,,,Winston Salem Sales Tax,,
BF PREG,,,,,,,HAIOTB,,,,0,,$6.60,$18.75,,,,Winston Salem Sales Tax,,
BF PRO,,,,,,,HAIOTB,,,,0,,$10.97,$25.50,,,,Winston Salem Sales Tax,,
BF SPORTS OIL,,,,,,,HAIOTB,,,,0,,$14.00,$19.50,,,,Winston Salem Sales Tax,,
BF TURM,,,,,,,HAIOTB,,,,0,,$5.27,$21.00,,,,Winston Salem Sales Tax,,
BF VIT D,,,,,,,HAIOTB,,,,0,,$2.22,$13.50,,,,Winston Salem Sales Tax,,
BF VIT K,,,,,,,HAIOTB,,,,0,,$3.50,$17.25,,,,Winston Salem Sales Tax,,
BLACK,,,,,,,HAIOTB,,,,0,,$2.85,$18.00,,,,Winston Salem Sales Tax,,
BLOOD,,,,,,,HAIOTB,,,,0,,$6.50,$28.00,,,,Winston Salem Sales Tax,,
BONE,,,,,,,HAIOTB,,,,0,,$3.80,$29.00,,,,Winston Salem Sales Tax,,
BRAIN,,,,,,,HAIOTB,,,,0,,$18.97,$72.00,,,,Winston Salem Sales Tax,,
CIRC,,,,,,,HAIOTB,,,,0,,$4.35,$26.00,,,,Winston Salem Sales Tax,,
DAILY MULTI,,,,,,,HAIOTB,,,,0,,$8.75,$26.50,,,,Winston Salem Sales Tax,,
DK BUNDLE,,,,,,,HAIOTB,,,,0,,$5.72,$37.99,,,,Winston Salem Sales Tax,,
ESTRO,,,,,,,HAIOTB,,,,0,,$3.80,$32.00,,,,Winston Salem Sales Tax,,
EYE,,,,,,,HAIOTB,,,,0,,$6.33,$27.00,,,,Winston Salem Sales Tax,,
INFLA,,,,,,,HAIOTB,,,,0,,$6.55,$28.00,,,,Winston Salem Sales Tax,,
KETOX,,,,,,,HAIOTB,,,,0,,$13.65,$51.00,,,,Winston Salem Sales Tax,,
LEPTIN,,,,,,,HAIOTB,,,,0,,$3.90,$29.00,,,,Winston Salem Sales Tax,,
MAG,,,,,,,HAIOTB,,,,0,,$6.59,$24.00,,,,Winston Salem Sales Tax,,
MAX,,,,,,,HAIOTB,,,,0,,$3.65,$28.00,,,,Winston Salem Sales Tax,,
MUS,,,,,,,HAIOTB,,,,0,,$11.00,$34.00,,,,Winston Salem Sales Tax,,
VIT K,,,,,,,HAIOTB,,,,0,,$3.50,$12.00,,,,Winston Salem Sales Tax,,
OMEGA,,,,,,,HAIOTB,,,,0,,$8.54,$32.00,,,,Winston Salem Sales Tax,,
PLANT,,,,,,,HAIOTB,,,,0,,$7.65,$29.25,,,,Winston Salem Sales Tax,,
PREG,,,,,,,HAIOTB,,,,0,,$7.87,$29.99,,,,Winston Salem Sales Tax,,
PRO,,,,,,,HAIOTB,,,,0,,$11.15,$35.00,,,,Winston Salem Sales Tax,,
TURM,,,,,,,HAIOTB,,,,0,,$5.27,$28.00,,,,Winston Salem Sales Tax,,
VIT D,,,,,,,HAIOTB,,,,0,,$3.63,$22.00,,,,Winston Salem Sales Tax,,
VIT D & K,,7500 IU/ 200 MCG,,,,,HAIOTB,,,,0,,$3.75,$28.00,,,,Winston Salem Sales Tax,,
VIT K,,,,,,,HAIOTB,,,,0,,$3.75,$23.99,,,,Winston Salem Sales Tax,,
LUGOL'S SOLUTION,,2%,,2 oz,,,J.Crow Company,,,,0,,$12.50,$18.00,,,,Winston Salem Sales Tax,,
CONTEGRA,,,,60 CAP,,,Sanesco,,,,0,,$35.20,$53.00,,,,Winston Salem Sales Tax,,
LENTRA,,,,60 CAP,,,Sanesco,,,,0,,$38.46,$60.00,,,,Winston Salem Sales Tax,,
METHYLMAX,,,,60 CAP,,,Sanesco,,,,0,,$27.50,$42.00,,,,Winston Salem Sales Tax,,
PROCITE-D,,,,60 CAP,,,Sanesco,,,,0,,$31.46,$48.00,,,,Winston Salem Sales Tax,,
PROLENT,,,,60 CAP,,,Sanesco,,,,0,,$36.30,$55.00,,,,Winston Salem Sales Tax,,
SOMNITR,,,,30 TAB,,,Sanesco,,,,0,,$19.36,$29.00,,,,Winston Salem Sales Tax,,
TRANQUILENT,,,,30 TAB,,,Sanesco,,,,0,,$15.40,$24.00,,,,Winston Salem Sales Tax,,
FRACTIONATED COCONUT OIL,,,,,,,"Aromaland, Inc.",,,,0,,$6.29,$11.00,,,,Winston Salem Sales Tax,,
HAND SANITIZER,,,,8 OZ,,,"Aromaland, Inc.",,,,0,,$3.99,$6.00,,,,Winston Salem Sales Tax,,
GODDESS SPIRIT ESSENTIAL OIL,,,,,,,"Aromaland, Inc.",,,,0,,$5.60,$8.00,,,,Winston Salem Sales Tax,,
STRESS RELEASE ESSENTIAL OIL,,,,,,,"Aromaland, Inc.",,,,0,,$18.90,$25.00,,,,Winston Salem Sales Tax,,
JOJOBA ESSENTIAL OIL,,,,8 OZ,,,"Aromaland, Inc.",,,,0,,$18.99,$28.00,,,,Winston Salem Sales Tax,,
MOTHER NATURE ESSENTIAL OIL,,,,,,,"Aromaland, Inc.",,,,0,,$7.10,$10.00,,,,Winston Salem Sales Tax,,
GRAPESEED OIL,,,,8 OZ,,,"Aromaland, Inc.",,,,0,,$4.49,$8.00,,,,Winston Salem Sales Tax,,
CHERRY BLOSSOM ESSENTIAL OIL,,,,,,,"Aromaland, Inc.",,,,0,,$29.52,$35.00,,,,Winston Salem Sales Tax,,
REVITALIZING ESSENTIAL OIL,,,,,,,"Aromaland, Inc.",,,,0,,$5.60,$8.00,,,,Winston Salem Sales Tax,,
ANGEL OIL ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$5.80,$10.00,,,,Winston Salem Sales Tax,,
