DrugName,,B,,D,,,E,,,,L,,M,N,,,,R,,
EPICOR PLUS,,500 MG,,60 CAP,,,NOW FOODS,,,,0,,$13.99,$25.00,,,,Winston Salem Sales Tax,,
ALPHA LIPOIC ACID,,250MG,,60 CAP,,,NOW FOODS,,,,0,,$6.02,$16.00,,,,Winston Salem Sales Tax,,
ALPHA LIP ACID,,600 MG,,120 CT,,,NOW FOODS,,,,0,,$19.00,$40.00,,,,Winston Salem Sales Tax,,
BENTONITE CLAY POWDR,,,,,,,NOW FOODS,,,,0,,$8.99,$16.00,,,,Winston Salem Sales Tax,,
BETA GLUCAN,,100MG,,90 CAP,,,NOW FOODS,,,,0,,$8.49,$16.00,,,,Winston Salem Sales Tax,,
I3CARBINOL,,200 MG,,60 CAP,,,NOW FOODS,,,,0,,$10.77,$22.00,,,,Winston Salem Sales Tax,,
LYCOPENE,,20mg,,50 Softgels,,,NOW FOODS,,,,0,,$11.54,$25.00,,,,Winston Salem Sales Tax,,
QUERCENTIN,,500mg,,100 cap,,,NOW FOODS,,,,0,,$13.47,$28.00,,,,Winston Salem Sales Tax,,
BETA-SITOSTEROL,,,,180 gel,,,NOW FOODS,,,,0,,$23.99,$40.00,,,,Winston Salem Sales Tax,,
DMAE,,250mg,,100 cap,,,NOW FOODS,,,,0,,$6.99,$13.00,,,,Winston Salem Sales Tax,,
DOPA MUCUNA,,,,90 cap,,,NOW FOODS,,,,0,,$9.99,$17.00,,,,Winston Salem Sales Tax,,
CALCIUM D-GLUCARATE,,,,90,,,NOW FOODS,,,,0,,$16.99,$29.00,,,,Winston Salem Sales Tax,,
NATTOKINASE,,100MG,,60 CAP,,,NOW FOODS,,,,0,,$10.04,$24.00,,,,Winston Salem Sales Tax,,
NATTOKINASE,,100MG,,120 VCA,,,NOW FOODS,,,,0,,$16.75,$45.00,,,,Winston Salem Sales Tax,,
HYALURONIC ACID,,,,60 CAP,,,NOW FOODS,,,,0,,$7.69,$15.00,,,,Winston Salem Sales Tax,,
GLUCOSAMINE CHONDROTIN,,,,,,,NOW FOODS,,,,0,,$22.00,$40.00,,,,Winston Salem Sales Tax,,
COQ10,,100 MG,,50 SOFTGELS,,,NOW FOODS,,,,0,,$7.36,$16.00,,,,Winston Salem Sales Tax,,
COQ10,,100MG,,150CT,,,NOW FOODS,,,,0,,$18.75,$48.00,,,,Winston Salem Sales Tax,,
GLUCOSAMINE SULFATE,,,,,,,NOW FOODS,,,,0,,$15.39,$30.00,,,,Winston Salem Sales Tax,,
LIQUID MELATONIN,,3MG,,2 OZ,,,NOW FOODS,,,,0,,$3.34,$8.00,,,,Winston Salem Sales Tax,,
PYCNOGENOL,,60MG,,50CT,,,NOW FOODS,,,,0,,$16.49,$35.00,,,,Winston Salem Sales Tax,,
GLUCOSOMINE LOTION 8 OZ,,,,,,,NOW FOODS,,,,0,,$6.37,$16.00,,,,Winston Salem Sales Tax,,
JOINT & MUSCLE CREAM 4 OZ,,,,,,,NOW FOODS,,,,0,,$5.77,$12.00,,,,Winston Salem Sales Tax,,
CANDIDA SUPPORT,,,,90 CAP,,,NOW FOODS,,,,0,,$10.99,$22.00,,,,Winston Salem Sales Tax,,
PROGESTERONE CR,,20MG,,3 OZ,,,NOW FOODS,,,,0,,$11.49,$22.00,,,,Winston Salem Sales Tax,,
RESVERATROL,,50 MG,,60 cap,,,NOW FOODS,,,,0,,$9.99,$14.00,,,,Winston Salem Sales Tax,,
PROSTATE SUPPORT,,,,90 GELS,,,NOW FOODS,,,,0,,$12.99,$21.00,,,,Winston Salem Sales Tax,,
RELORA,,300 MG,,60 CAP,,,NOW FOODS,,,,0,,$9.99,$16.00,,,,Winston Salem Sales Tax,,
RELORA,,300 MG,,120 VCAPS,,,NOW FOODS,,,,0,,$14.99,$32.00,,,,Winston Salem Sales Tax,,
PROGEST CR LAV,,20 MG,,3OZ,,,NOW FOODS,,,,0,,$11.49,$22.00,,,,Winston Salem Sales Tax,,
CAPRYLIC ACID,,600MG,,GEL 100.00,,,NOW FOODS,,,,0,,$7.99,$13.00,,,,Winston Salem Sales Tax,,
"HAIR,SKIN & NAILS",,,,90 CAP,,,NOW FOODS,,,,0,,$11.24,$22.00,,,,Winston Salem Sales Tax,,
